MAG,LoPthruTP2,Aggregate_Adjusted_popSNP_Count
C017-M36xC017-M36.018.SR_stool.fasta,0.5,1.389
C017-M36xC017-M36.018.SR_stool.fasta,3,4.091
C017-M36xC017-M36.024.SR_stool.fasta,0,0.000
C017-M36xC017-M36.024.SR_stool.fasta,1.083333333,3.688
C017-M36xC017-M36.039_sub.SR_stool.fasta,0,0.000
C017-M36xC017-M36.039_sub.SR_stool.fasta,1.083333333,2.338
C020-M00_BAPx13.SR_plate.fasta,0,0.000
C020-M00_BAPx13.SR_plate.fasta,0.583333333,0.000
C020-M00_BAPx13.SR_plate.fasta,2,16.806
C020-M00x27.LR_stool.fasta,0,0.000
C020-M00x27.LR_stool.fasta,0.583333333,0.000
C020-M00x27.LR_stool.fasta,3,0.000
C020-M00x32.LR_stool.fasta,0,0.000
C020-M00x32.LR_stool.fasta,0.583333333,0.000
C020-M00x61.SR_stool.fasta,0,0.000
C020-M00x61.SR_stool.fasta,0.583333333,0.000
C020-M00xbin.110.SR_stool.fasta,0,0.000
C020-M00xbin.110.SR_stool.fasta,0.583333333,0.000
C020-M00xbin.130.SR_stool.fasta,0,0.000
C020-M00xbin.130.SR_stool.fasta,0.583333333,1.392
C020-M00xbin.136.SR_stool.fasta,0,0.000
C020-M00xbin.136.SR_stool.fasta,0.583333333,2.173
C020-M00xC020-M00.029.SR_stool.fasta,0,0.000
C020-M00xC020-M00.029.SR_stool.fasta,0.583333333,0.000
C020-M00xC020-M00.030.SR_stool.fasta,0,0.000
C020-M00xC020-M00.030.SR_stool.fasta,0.583333333,8.118
C020-M00xC020-M00.032.SR_stool.fasta,0,0.000
C020-M00xC020-M00.032.SR_stool.fasta,0.583333333,0.000
C020-M00xC020-M00.032.SR_stool.fasta,2,1.129
C020-M07_BAPx59.SR_plate.fasta,0,0.000
C020-M07_BAPx59.SR_plate.fasta,0.583333333,0.000
C020-M07_BAPx59.SR_plate.fasta,2,0.000
C020-M07_BAPx59.SR_plate.fasta,3,0.000
C020-M07_LKVxbin.6.SR_plate.fasta,0,0.000
C020-M07_LKVxbin.6.SR_plate.fasta,0.583333333,0.000
C020-M07_LKVxbin.6.SR_plate.fasta,2,0.919
C020-M07_WCxC020-M07_WC.001.SR_plate.fasta,0,0.000
C020-M07_WCxC020-M07_WC.001.SR_plate.fasta,0.583333333,9.183
C020-M07_WCxC020-M07_WC.004.SR_plate.fasta,0,0.000
C020-M07_WCxC020-M07_WC.004.SR_plate.fasta,0.583333333,0.000
C020-M07x102.SR_stool.fasta,0,0.000
C020-M07x102.SR_stool.fasta,0.583333333,0.000
C020-M07x102.SR_stool.fasta,2,0.000
C020-M07x102.SR_stool.fasta,3,0.000
